ID,Category,Language,Genre,Pubdate,Author_Last,Author_First,Work_Title,token_count,total_characters,avg_sentence_length,avg_word_length,speed_avg,circuitousness,volume,goodreads_avg,goodreads_URL,difficulty_score,difficulty_level
[Heist Society 2] Uncommon Criminals - Ally Carter.txt,FIC,English,Young Adult,2011,Carter,Ally,UncommonCriminals,0.08950357840396972,34,0.12732017115682487,0.5443536868665652,0.8066636446056211,0.2289451453875214,-3.0142,4.13,https://www.goodreads.com/search?q=Ally+Carter+Uncommon+Criminals,0.363138904559386,Medium
"2001_2011_Wilson,RobertCharles_TheChronoliths_SF.txt",FIC,English,Science Fiction,2001,Wilson,RobertCharles,TheChronoliths,0.12102666031732887,34,0.15348541214162226,0.613060641660441,0.6401858567543065,0.3071169346481555,-2.9521,3.67,https://www.goodreads.com/search?q=+The+Chronoliths,0.3702209762868002,Medium
"2001_Martel,Yann_LifeofPi_BS.txt",FIC,English,Unkown,2001,Yann,Martel,LifeofPi,0.15030953021801693,27,0.12304112643940532,0.5614343023172189,0.5207388939256574,0.19385431660074928,-2.83,3.93,https://www.goodreads.com/search?q=+Lifeof+Pi,0.3071487935223484,Easy
"2002_2011_Anderson,MT_Feed_SF.txt",FIC,English,Science Fiction,2002,Anderson,MT,Feed,0.07112224545711782,14,0.086147754592483,0.45256984541737744,0.7352674524025384,0.17072724491969132,-2.8989,3.56,https://www.goodreads.com/search?q=MT+Anderson+Feed,0.30466945947137813,Easy
"2002_Baker,Jo_Offcomer_CT.txt",FIC,English,Unkown,2002,Baker,Jo,Offcomer,0.10006280323264112,24,0.09641180857700982,0.5813070001158351,0.47620126926563944,0.3564013247323877,-2.8866,2.58,https://www.goodreads.com/search?q=Jo+Baker+Offcomer,0.3217117417191395,Easy
"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt",FIC,English,Unkown,2002,SueMonk,Kidd,TheSecretLifeofBees,0.13596554794095117,45,0.16575877156732566,0.48531614501077835,0.7786718041704441,0.2594477232412777,-3.0648,4.07,https://www.goodreads.com/search?q=+The+Secret+Lifeof+Bees,0.3680113207487929,Medium
"2002_Sebold,Alice_LovelyBones_BS.txt",FIC,English,Unkown,2002,Alice,Sebold,LovelyBones,0.14206229252503502,48,0.17446361207482391,0.5339706384001948,0.7375339981867636,0.27772925889027217,-3.0493,3.83,https://www.goodreads.com/search?q=Sebold+Alice+Lovely+Bones,0.3763920919703968,Medium
"2003_Hosseini,Khaled_TheKiteRunner_BS.txt",FIC,English,Unkown,2003,Khaled,Hosseini,TheKiteRunner,0.162823246858113,65,0.12322681619464122,0.5220755054525154,0.6185403445149593,0.26486500393789136,-2.9666,4.32,https://www.goodreads.com/search?q=Hosseini+Khaled+The+Kite+Runner,0.3343465403252769,Easy
"2003_Landay,William_MissionFlats_MY.txt",FIC,English,Mystery,2003,Landay,William,MissionFlats,0.18619985230888147,66,0.09295783978685787,0.5324426346664,0.5039664551223935,0.3528136269623349,-2.9433,3.56,https://www.goodreads.com/search?q=William+Landay+Mission+Flats,0.3243518805171712,Easy
"2003_Low,Gennita_IntoDanger_ROM.txt",FIC,English,Romance,2003,Low,Gennita,IntoDanger,0.18844558548486165,34,0.10295337107132475,0.5671185958310672,0.6950362647325476,0.32601309581154153,-3.0897,4.02,https://www.goodreads.com/search?q=Gennita+Low+Into+Danger,0.3673641611449148,Medium
"2004_Mitchell,David_CloudAtlas_BS.txt",FIC,English,Unkown,2004,David,Mitchell,CloudAtlas,0.26287224718248137,171,0.15730061003377824,0.6283382919866182,0.6237533998186764,0.23158946446106632,-2.9738,4.0,https://www.goodreads.com/search?q=Mitchell+David+Cloud+Atlas,0.37021363898165377,Medium
